ID,Name,Title,Speciality,Image,Availability,TimeSlots
18,PGS. TS NGUYỄN ĐÌNH KHOA,TRƯỞNG KHOA CƠ XƯƠNG KHỚP,NỘI CƠ XƯƠNG KHỚP,https://cdn.youmed.vn/photos/104c738d-59d3-4643-b7ab-7f94a5aaca94.JPG,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","9:00 AM, 10:00 AM, 11:00 AM, 12:00 PM, 1:00 PM, 2:00 PM, 3:00 PM, 4:00 PM, 5:00 PM"
19,BS. CKII HUỲNH PHAN PHÚC LINH,PHÓ KHOA CƠ XƯƠNG KHỚP,NỘI CƠ XƯƠNG KHỚP,https://youmed.vn/tin-tuc/wp-content/uploads/2023/05/bac-si-huynh-phan-phuc-linh.png?width=140&aspect_ratio=1:1,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","9:00 AM, 10:00 AM, 11:00 AM, 12:00 PM, 1:00 PM, 2:00 PM, 3:00 PM, 4:00 PM, 5:00 PM"
20,BS. CKII LƯU VĂN ÁI,PHÓ KHOA CƠ XƯƠNG KHỚP,NỘI CƠ XƯƠNG KHỚP,https://cdn.youmed.vn/photos/27dd0ed7-f30a-4498-814b-c8fd320e8abd.png,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","9:00 AM, 10:00 AM, 11:00 AM, 12:00 PM, 1:00 PM, 2:00 PM, 3:00 PM, 4:00 PM, 5:00 PM"
21,PGS. TS THÁI MINH SÂM,TRƯỞNG KHOA NGOẠI TIẾT NIỆU,TIẾT NIỆU-NAM KHOA-GHÉP THẬN,https://accutech.com.vn/wp-content/uploads/2022/11/Thai-Minh-Sam-1.jpg,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","9:00 AM, 10:00 AM, 11:00 AM, 12:00 PM, 1:00 PM, 2:00 PM, 3:00 PM, 4:00 PM, 5:00 PM"
22,TS. BS CHÂU QUÝ THUẬN,PHÓ KHOA NGOẠI TIẾT NIỆU,TIẾT NIỆU-NAM KHOA-GHÉP THẬN,None,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","9:00 AM, 10:00 AM, 11:00 AM, 12:00 PM, 1:00 PM, 2:00 PM, 3:00 PM, 4:00 PM, 5:00 PM"
23,BS. CKII HOÀNG KHẮC CHUẨN,PHÓ KHOA NGOẠI TIẾT NIỆU,TIẾT NIỆU-NAM KHOA-GHÉP THẬN,None,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","9:00 AM, 10:00 AM, 11:00 AM, 12:00 PM, 1:00 PM, 2:00 PM, 3:00 PM, 4:00 PM, 5:00 PM"
24,BS. CKII LÊ HỒNG MINH,PHÓ KHOA NỘI THẦN KINH,NỘI THẦN KINH,None,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","9:00 AM, 10:00 AM, 11:00 AM, 12:00 PM, 1:00 PM, 2:00 PM, 3:00 PM, 4:00 PM, 5:00 PM"
25,PGS. TS HUỲNH LÊ PHƯƠNG,TRƯỞNG KHOA NGOẠI THẦN KINH,PHẪU THUẬT CỘT SỐNG,https://benhdotquy.net/wp-content/uploads/2022/03/bs_huynh_le_phuong_truong_khoa_ngoai_than_kinh.jpg,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","9:00 AM, 10:00 AM, 11:00 AM, 12:00 PM, 1:00 PM, 2:00 PM, 3:00 PM, 4:00 PM, 5:00 PM"
26,TS. BS NGUYỄN NGỌC KHANG,PHÓ KHOA NGOẠI THẦN KINH,PHẪU THUẬT CỘT SỐNG,https://sohanews.sohacdn.com/2016/a1-1480591616199.jpg,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","9:00 AM, 10:00 AM, 11:00 AM, 12:00 PM, 1:00 PM, 2:00 PM, 3:00 PM, 4:00 PM, 5:00 PM"
27,BS. CKII ĐOÀN TIẾN MỸ,TRƯỞNG KHOA GAN MẬT TỤY,GAN MẬT TỤY-GHÉP GAN,https://cdn.youmed.vn/photos/95427b3e-d4e1-4e75-91c8-14f9b54a2d0c.png,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","9:00 AM, 10:00 AM, 11:00 AM, 12:00 PM, 1:00 PM, 2:00 PM, 3:00 PM, 4:00 PM, 5:00 PM"
28,TS. BS PHẠM HỮU THIỆN CHÍ,PHÓ KHOA GAN MẬT TỤY,GAN MẬT TỤY-GHÉP GAN,https://vcdn1-suckhoe.vnecdn.net/2020/07/24/vne-ghepgan-onghung-bybv-chora-1213-8916-1595608607.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=yspgFYMA1Dky-dqfRRRPzg,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","9:00 AM, 10:00 AM, 11:00 AM, 12:00 PM, 1:00 PM, 2:00 PM, 3:00 PM, 4:00 PM, 5:00 PM"
29,BS. CKII LÊ CÔNG KHÁNH,PHÓ KHOA GAN MẬT TỤY,GAN MẬT TỤY-GHÉP GAN,http://choray.vn/Portals/0/Gioi%20thieu%20Khoa%20Phong/Lam%20sang/PKLeCongKhanh.jpg?ver=2024-01-02-142636-190,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","9:00 AM, 10:00 AM, 11:00 AM, 12:00 PM, 1:00 PM, 2:00 PM, 3:00 PM, 4:00 PM, 5:00 PM"
30,BS. CKII BÙI AN THỌ,PHÓ KHOA GAN MẬT TỤY,GAN MẬT TỤY-GHÉP GAN,None,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","9:00 AM, 10:00 AM, 11:00 AM, 12:00 PM, 1:00 PM, 2:00 PM, 3:00 PM, 4:00 PM, 5:00 PM"
31,BS. CKII NGUYỄN TRƯỜNG TRÚC LÂM,PHÓ KHOA NGOẠI TIÊU HÓA,NGOẠI TIÊU HÓA,https://www.phongkhamendoli.com/uploads/contents/ds-bs-khoa-ngoai-tieu-hoa-bv-cho-ray-3_1689092505.jpg,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","9:00 AM, 10:00 AM, 11:00 AM, 12:00 PM, 1:00 PM, 2:00 PM, 3:00 PM, 4:00 PM, 5:00 PM"
32,BS. CKII CHÂU PHÚ THI,PHÓ KHOA NGOẠI LỒNG NGỰC,LỒNG NGỰC,ChauPhuThi.jpg,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","9:00 AM, 10:00 AM, 11:00 AM, 12:00 PM, 1:00 PM, 2:00 PM, 3:00 PM, 4:00 PM, 5:00 PM"
33,TS. BS PHAN QUỐC HÙNG,PHÓ KHOA PHẪU THUẬT MẠCH MÁU,PHẪU THUẬT MẠCH MÁU,None,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","9:00 AM, 10:00 AM, 11:00 AM, 12:00 PM, 1:00 PM, 2:00 PM, 3:00 PM, 4:00 PM, 5:00 PM"
34,BS. CKII NGÔ VĂN HỒNG,TRƯỞNG KHOA MẮT,MẮT,None,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","9:00 AM, 10:00 AM, 11:00 AM, 12:00 PM, 1:00 PM, 2:00 PM, 3:00 PM, 4:00 PM, 5:00 PM"
35,BS. CKII TRẦN VĨNH LÂM,PHÓ KHOA MẮT,MẮT,https://finizz.com/uploads/photo/picture/47769/Screen_Shot_2017-05-17_at_9.54.24_PM.png,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","9:00 AM, 10:00 AM, 11:00 AM, 12:00 PM, 1:00 PM, 2:00 PM, 3:00 PM, 4:00 PM, 5:00 PM"
36,BS. CKII HOÀNG BÁ DŨNG,TRƯỞNG KHOA TAI MŨI HỌNG,TAI MŨI HỌNG,https://image.baophapluat.vn/w1000/Uploaded/2024/hgftuzsaozsm/2023_09_12/7c17fdc4-69ea-477a-b3ce-d92254e4955a-4471.jpeg,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","9:00 AM, 10:00 AM, 11:00 AM, 12:00 PM, 1:00 PM, 2:00 PM, 3:00 PM, 4:00 PM, 5:00 PM"
37,TS. BS TRẦN ANH BÍCH,PHÓ KHOA TAI MŨI HỌNG,TAI MŨI HỌNG,PKAnhBich.jpg,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","9:00 AM, 10:00 AM, 11:00 AM, 12:00 PM, 1:00 PM, 2:00 PM, 3:00 PM, 4:00 PM, 5:00 PM"
38,TS. BS LƯU NGÂN TÂM,TRƯỞNG KHOA DINH DƯỠNG,DINH DƯỠNG,https://suckhoeonline.net.vn/upload/doctor/thumb_600x0/doctor-1666603317.png,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","9:00 AM, 10:00 AM, 11:00 AM, 12:00 PM, 1:00 PM, 2:00 PM, 3:00 PM, 4:00 PM, 5:00 PM"
